月度,城市名称,平均相对湿度(%),平均温度（摄氏度）,降水量（毫米）,日照时数（小时）
1999-04-01,北京市,56.0,14.4,33.6,237.0
1999-05-01,北京市,58.0,19.3,32.4,264.0
1999-06-01,北京市,58.0,25.3,23.8,258.0
1999-07-01,北京市,62.0,28.0,62.7,233.0
1999-08-01,北京市,65.0,25.5,63.5,210.0
1999-09-01,北京市,61.0,20.9,44.5,151.0
1999-10-01,北京市,49.0,12.9,3.9,176.0
1999-11-01,北京市,57.0,5.9,9.5,134.0
1999-12-01,北京市,42.0,-0.7,0.7,138.0
2000-01-01,北京市,55.0,-6.4,11.9,170.9
2000-02-01,北京市,40.0,-1.5,,230.8
2000-03-01,北京市,36.0,8.0,8.8,275.5
2000-04-01,北京市,40.0,14.6,18.3,248.8
2000-05-01,北京市,57.0,20.4,37.7,304.8
2000-06-01,北京市,53.0,26.7,19.0,275.2
2000-07-01,北京市,61.0,29.6,61.5,232.3
2000-08-01,北京市,76.0,25.7,150.5,186.9
2000-09-01,北京市,64.0,21.8,18.4,239.3
2000-10-01,北京市,62.0,12.6,35.2,170.0
2000-11-01,北京市,59.0,3.0,9.7,159.5
2000-12-01,北京市,48.0,-0.6,0.1,173.2
2001-01-01,北京市,57.0,-5.4,12.2,148.0
2001-02-01,北京市,62.0,-1.5,3.9,177.5
2001-03-01,北京市,31.0,7.3,,282.3
2001-04-01,北京市,46.0,14.4,14.4,249.8
2001-05-01,北京市,44.0,23.1,5.0,320.5
2001-06-01,北京市,63.0,25.7,45.8,214.9
2001-07-01,北京市,68.0,27.3,128.6,229.5
2001-08-01,北京市,71.0,25.8,49.7,242.4
2001-09-01,北京市,62.0,21.2,9.2,215.8
2001-10-01,北京市,73.0,13.8,45.7,155.4
2001-11-01,北京市,56.0,5.3,21.4,211.5
2001-12-01,北京市,42.0,-2.4,3.0,164.1
2002-01-01,北京市,37.0,0.0,,207.0
2002-02-01,北京市,38.0,3.3,0.5,207.0
2002-03-01,北京市,27.0,9.7,6.0,260.0
2002-04-01,北京市,36.0,1.4,37.7,219.0
2002-05-01,北京市,43.0,21.8,12.3,267.0
2002-06-01,北京市,59.0,23.5,103.4,181.0
2002-07-01,北京市,65.0,27.4,54.9,250.0
2002-08-01,北京市,72.0,25.6,74.3,207.0
2002-09-01,北京市,61.0,20.4,50.7,232.0
2002-10-01,北京市,49.0,10.6,22.6,226.0
2002-11-01,北京市,39.0,3.3,,220.0
2002-12-01,北京市,59.0,-3.0,7.7,32.0
2003-01-01,北京市,45.0,-3.2,9.6,193.0
2003-02-01,北京市,45.0,0.8,2.9,176.0
2003-03-01,北京市,50.0,6.2,32.8,158.0
2003-04-01,北京市,45.0,15.2,13.0,210.0
2003-05-01,北京市,60.0,20.9,30.6,215.0
2003-06-01,北京市,53.0,24.6,66.1,240.0
2003-07-01,北京市,68.0,26.0,57.7,156.0
2003-08-01,北京市,64.0,26.1,34.1,214.0
2003-09-01,北京市,71.0,20.5,87.9,158.0
2003-10-01,北京市,52.0,13.1,66.8,212.0
2003-11-01,北京市,56.0,3.4,42.9,122.0
2003-12-01,北京市,36.0,0.2,0.1,205.0
2004-01-01,北京市,36.0,-2.3,0.7,194.7
2004-01-01,北京市,36.0,-2.3,0.7,194.7
2004-02-01,北京市,34.0,2.9,8.8,213.5
2004-03-01,北京市,32.0,7.8,0.1,243.6
2004-04-01,北京市,40.0,16.3,37.2,248.2
2004-05-01,北京市,44.0,20.5,39.1,253.3
2004-06-01,北京市,54.0,24.9,69.6,202.0
2004-07-01,北京市,67.0,26.0,182.0,203.2
2004-08-01,北京市,65.0,24.9,50.7,187.4
2004-09-01,北京市,60.0,21.2,74.2,198.9
2004-10-01,北京市,54.0,14.0,9.9,225.2
2004-11-01,北京市,48.0,6.4,8.0,201.4
2004-12-01,北京市,56.0,-0.5,3.2,144.0
2005-01-01,北京市,41.0,-2.7,1.5,210.3
2005-02-01,北京市,46.0,-2.8,10.0,160.2
2005-03-01,北京市,31.0,6.3,0.2,270.8
2005-04-01,北京市,34.0,16.4,17.0,254.9
2005-05-01,北京市,48.0,19.8,68.4,261.2
2005-06-01,北京市,60.0,25.6,66.4,231.7
2005-07-01,北京市,65.0,27.9,96.1,200.5
2005-08-01,北京市,73.0,26.0,123.4,185.4
2005-09-01,北京市,59.0,22.0,24.5,192.3
2005-10-01,北京市,50.0,14.9,1.8,216.3
2005-11-01,北京市,45.0,7.5,0.4,192.7
2005-12-01,北京市,36.0,-2.5,1.0,199.8
2006-01-01,北京市,56.0,-1.9,0.7,110.7
2006-02-01,北京市,43.0,-0.9,5.6,161.6
2006-03-01,北京市,29.0,8.0,0.1,271.4
2006-04-01,北京市,40.0,13.5,1.0,210.6
2006-05-01,北京市,51.0,20.4,50.3,187.4
2006-06-01,北京市,52.0,25.9,35.1,197.7
2006-07-01,北京市,72.0,25.9,155.0,137.0
2006-08-01,北京市,71.0,26.4,47.5,158.7
2006-09-01,北京市,56.0,21.8,1.1,226.9
2006-10-01,北京市,59.0,16.1,15.0,181.0
2006-11-01,北京市,53.0,6.7,3.6,180.7
2006-12-01,北京市,49.0,-1.0,3.0,169.0
2007-01-01,北京市,44.0,-1.5,,207.2
2007-02-01,北京市,47.0,3.7,,175.8
2007-03-01,北京市,56.0,6.2,43.4,191.2
2007-04-01,北京市,35.0,15.2,2.0,260.1
2007-05-01,北京市,37.0,22.6,48.5,286.8
2007-06-01,北京市,57.0,26.2,46.1,169.4
2007-07-01,北京市,70.0,26.9,116.2,145.5
2007-08-01,北京市,69.0,26.6,103.6,222.9
2007-09-01,北京市,65.0,22.4,50.1,197.5
2007-10-01,北京市,63.0,13.6,69.9,175.0
2007-11-01,北京市,54.0,5.6,1.1,163.4
2007-12-01,北京市,51.0,0.5,3.0,156.3
2008-01-01,北京市,40.0,-3.0,0.2,172.3
2008-02-01,北京市,30.0,0.6,,250.0
2008-03-01,北京市,39.0,9.1,11.6,212.7
2008-04-01,北京市,53.0,15.8,63.6,205.5
2008-05-01,北京市,51.0,20.3,64.1,230.3
2008-06-01,北京市,67.0,23.4,125.3,150.4
2008-07-01,北京市,70.0,27.2,79.3,181.3
2008-08-01,北京市,69.0,26.0,132.1,185.4
2008-09-01,北京市,68.0,21.0,118.9,194.6
2008-10-01,北京市,58.0,14.5,31.1,213.5
2008-11-01,北京市,44.0,6.3,,206.1
2008-12-01,北京市,38.0,-1.0,0.1,189.3
2009-01-01,北京市,37.0,-3.0,,214.2
2009-02-01,北京市,52.0,1.0,18.0,179.9
2009-03-01,北京市,39.0,7.0,7.4,238.9
2009-04-01,北京市,43.0,15.9,32.2,262.2
2009-05-01,北京市,44.0,22.9,14.7,280.9
2009-06-01,北京市,45.0,26.2,95.5,269.9
2009-07-01,北京市,66.0,27.0,196.6,185.1
2009-08-01,北京市,70.0,25.7,60.9,178.7
2009-09-01,北京市,66.0,21.1,23.3,148.8
2009-10-01,北京市,49.0,15.3,5.9,227.9
2009-11-01,北京市,59.0,2.2,26.1,152.7
2009-12-01,北京市,42.0,-2.3,,172.6
2010-01-01,北京市,43.0,-4.8,10.4,189.9
2010-02-01,北京市,47.0,-1.0,2.6,137.2
2010-03-01,北京市,47.0,4.1,22.2,172.2
2010-04-01,北京市,43.0,11.2,17.5,213.5
2010-05-01,北京市,45.0,21.7,29.5,269.2
2010-06-01,北京市,60.0,24.7,88.7,223.0
2010-07-01,北京市,65.0,28.6,34.0,181.5
2010-08-01,北京市,64.0,26.5,177.8,207.4
2010-09-01,北京市,63.0,21.3,80.8,198.2
2010-10-01,北京市,58.0,13.6,59.0,182.6
2010-11-01,北京市,44.0,5.8,,199.5
2010-12-01,北京市,33.0,-1.0,,208.7
2011-01-01,北京市,26.0,-4.5,,240.8
2011-02-01,北京市,51.0,-0.1,12.3,144.0
2011-03-01,北京市,25.0,8.1,,283.4
2011-04-01,北京市,36.0,15.2,15.3,262.2
2011-05-01,北京市,37.0,21.3,21.8,275.1
2011-06-01,北京市,52.0,26.4,117.4,242.0
2011-07-01,北京市,67.0,27.5,265.7,153.1
2011-08-01,北京市,72.0,26.4,171.3,190.3
2011-09-01,北京市,60.0,20.2,64.0,209.6
2011-10-01,北京市,62.0,14.2,28.7,171.9
2011-11-01,北京市,56.0,7.1,21.2,139.6
2011-12-01,北京市,47.0,-1.0,2.9,173.7
2012-01-01,北京市,44.0,-3.6,0.1,168.6
2012-02-01,北京市,30.0,-1.3,,218.8
2012-03-01,北京市,40.0,5.9,9.2,222.6
2012-04-01,北京市,39.0,16.2,53.5,235.8
2012-05-01,北京市,43.0,22.8,31.3,265.7
2012-06-01,北京市,60.0,25.0,103.9,172.1
2012-07-01,北京市,71.0,27.4,284.0,166.3
2012-08-01,北京市,71.0,26.0,59.9,214.3
2012-09-01,北京市,60.0,21.1,81.2,233.9
2012-10-01,北京市,54.0,14.6,21.4,231.0
2012-11-01,北京市,51.0,4.3,81.1,187.3
2012-12-01,北京市,49.0,-4.2,7.6,133.8
2013-01-01,北京市,61.0,-4.7,3.0,138.9
2013-02-01,北京市,51.0,-1.4,3.4,159.6
2013-03-01,北京市,45.0,6.2,10.7,213.1
2013-04-01,北京市,39.0,12.6,5.5,264.2
2013-05-01,北京市,47.0,21.9,23.6,244.8
2013-06-01,北京市,71.0,23.8,91.0,132.4
2013-07-01,北京市,71.0,27.4,235.6,216.4
2013-08-01,北京市,69.0,27.3,118.6,223.8
2013-09-01,北京市,68.0,20.7,71.1,164.8
2013-10-01,北京市,60.0,13.6,16.4,203.9
2013-11-01,北京市,42.0,6.3,0.2,201.2
2013-12-01,北京市,40.0,0.1,,208.0
2014-01-01,北京市,45.0,-0.6,,192.4
2014-02-01,北京市,55.0,-0.4,4.8,107.9
2014-03-01,北京市,37.0,10.1,0.9,233.8
2014-04-01,北京市,45.0,17.1,20.8,231.1
2014-05-01,北京市,40.0,22.2,33.7,274.1
2014-06-01,北京市,59.0,25.1,91.8,237.1
2014-07-01,北京市,61.0,28.1,119.8,174.4
2014-08-01,北京市,62.0,26.3,50.1,224.9
2014-09-01,北京市,66.0,21.0,127.6,157.3
2014-10-01,北京市,65.0,14.0,12.0,122.9
2014-11-01,北京市,52.0,6.4,,167.2
2014-12-01,北京市,34.0,-0.5,,221.0
2015-01-01,北京市,43.0,-0.6,0.4,198.3
2015-02-01,北京市,42.0,1.3,11.2,179.8
2015-03-01,北京市,34.0,8.8,7.7,250.4
2015-04-01,北京市,47.0,15.5,34.5,237.9
2015-05-01,北京市,44.0,21.5,35.0,276.3
2015-06-01,北京市,56.0,24.9,42.2,200.9
2015-07-01,北京市,64.0,26.8,107.4,209.9
2015-08-01,北京市,64.0,26.7,82.6,248.2
2015-09-01,北京市,68.0,21.0,87.2,192.1
2015-10-01,北京市,56.0,14.7,19.0,223.8
2015-11-01,北京市,77.0,3.6,29.6,59.3
2015-12-01,北京市,64.0,0.2,1.8,143.4
2016-01-01,北京市,38.0,-4.2,0.1,210.9
2016-02-01,北京市,34.0,1.4,8.1,240.5
2016-03-01,北京市,31.0,9.4,,262.0
2016-04-01,北京市,36.0,16.9,5.5,265.8
2016-05-01,北京市,42.0,21.5,24.0,281.9
2016-06-01,北京市,54.0,25.9,72.9,224.4
2016-07-01,北京市,69.0,27.4,344.3,153.4
2016-08-01,北京市,65.0,27.5,76.9,218.7
2016-09-01,北京市,62.0,22.2,59.0,201.5
2016-10-01,北京市,70.0,13.4,70.1,123.8
2016-11-01,北京市,62.0,4.3,8.2,154.4
2016-12-01,北京市,56.0,0.3,,164.8
2017-01-01,北京市,50.0,-1.7,0.2,175.1
2017-02-01,北京市,37.0,2.3,5.4,203.9
2017-03-01,北京市,38.0,9.0,12.5,233.4
2017-04-01,北京市,36.0,17.5,,259.9
2017-05-01,北京市,41.0,23.3,31.2,298.5
2017-06-01,北京市,50.0,25.6,119.5,250.9
2017-07-01,北京市,70.0,27.9,97.4,179.0
2017-08-01,北京市,71.0,26.2,233.9,205.9
2017-09-01,北京市,58.0,23.0,2.8,214.2
2017-10-01,北京市,70.0,12.8,73.3,136.8
2017-11-01,北京市,42.0,4.1,,234.1
2017-12-01,北京市,37.0,-0.2,,208.4
2018-01-01,北京市,33.0,-3.2,,205.4
2018-02-01,北京市,33.0,-0.9,,206.0
2018-03-01,北京市,42.0,8.3,4.1,218.8
2018-04-01,北京市,48.0,15.7,47.5,229.3
2018-05-01,北京市,47.0,22.3,9.3,218.9
2018-06-01,北京市,50.0,27.1,35.4,226.9
2018-07-01,北京市,74.0,28.0,309.1,159.1
2018-08-01,北京市,68.0,27.8,109.6,187.3
2018-09-01,北京市,53.0,21.4,25.4,214.2
2018-10-01,北京市,49.0,13.0,4.4,244.8
2018-11-01,北京市,54.0,5.7,1.6,173.1
2018-12-01,北京市,32.0,-2.5,0.2,191.6
2019-01-01,北京市,30.0,-1.7,,200.3
2019-02-01,北京市,39.0,-0.68,2.0,150.5
2019-03-01,北京市,31.0,9.7,2.5,271.3
2019-04-01,北京市,43.0,14.7,39.4,246.4
2019-05-01,北京市,38.0,22.3,58.5,270.5
2019-06-01,北京市,51.0,26.3,9.4,217.8
2019-07-01,北京市,62.0,28.0,86.8,194.9
2019-08-01,北京市,60.0,25.9,63.9,205.9
2019-09-01,北京市,58.0,23.1,90.9,239.8
2019-10-01,北京市,59.0,13.3,22.9,196.4
2019-11-01,北京市,52.0,5.8,21.3,151.5
2019-12-01,北京市,49.0,-1.2,5.7,197.0
2020-01-01,北京市,51.0,-1.5,4.7,183.4
2020-02-01,北京市,58.0,1.0,37.7,153.2
2020-03-01,北京市,40.0,9.1,11.9,253.1
2020-04-01,北京市,32.0,15.7,12.7,281.7
2020-05-01,北京市,53.0,21.1,49.3,185.3
2020-06-01,北京市,50.0,26.9,35.0,199.4
2020-07-01,北京市,66.0,26.7,108.5,150.8
2020-08-01,北京市,72.0,26.7,167.4,164.7
2020-09-01,北京市,63.0,21.8,71.1,225.4
2020-10-01,北京市,50.0,13.5,1.8,243.9
2020-11-01,北京市,50.0,6.5,27.9,186.9
2020-12-01,北京市,40.0,-2.2,,213.6
1996-01-01,成都市,89.0,6.7,27.5,12.6
1996-02-01,成都市,77.0,6.5,16.8,50.5
1996-03-01,成都市,79.0,12.4,45.0,58.0
1996-04-01,成都市,79.0,16.6,61.7,69.8
1996-05-01,成都市,86.0,20.5,145.6,28.4
1996-06-01,成都市,80.0,25.5,265.0,109.5
1996-07-01,成都市,82.0,27.7,447.2,139.4
1996-08-01,成都市,70.0,29.8,167.0,258.0
1996-09-01,成都市,81.0,24.1,65.2,113.7
1996-10-01,成都市,83.0,18.4,49.9,48.5
1996-11-01,成都市,88.0,13.5,101.8,3.9
1996-12-01,成都市,83.0,9.0,5.6,7.1
1997-01-01,成都市,79.0,7.0,3.4,41.8
1997-02-01,成都市,83.0,8.0,24.9,8.1
1997-03-01,成都市,81.0,13.3,35.0,39.8
1997-04-01,成都市,79.0,16.6,60.1,89.0
1997-05-01,成都市,75.0,22.2,70.6,134.1
1997-06-01,成都市,82.0,23.1,172.0,85.8
1997-07-01,成都市,84.0,25.8,156.9,114.6
1997-08-01,成都市,78.0,26.8,195.0,175.2
1997-09-01,成都市,75.0,21.6,32.5,117.0
1997-10-01,成都市,78.0,17.6,18.5,77.7
1997-11-01,成都市,78.0,12.0,11.3,37.8
1997-12-01,成都市,82.0,7.8,3.0,18.0
1998-01-01,成都市,74.0,6.1,2.7,43.1
1998-02-01,成都市,80.0,8.8,17.2,37.8
1998-03-01,成都市,77.0,11.3,15.3,53.9
1998-04-01,成都市,67.0,21.3,41.9,168.0
1998-05-01,成都市,77.0,21.5,71.2,91.2
1998-06-01,成都市,80.0,24.1,122.8,120.9
1998-07-01,成都市,85.0,26.2,320.1,104.7
1998-08-01,成都市,85.0,25.0,166.7,112.7
1998-09-01,成都市,82.0,22.7,110.8,93.6
1998-10-01,成都市,82.0,18.5,10.5,23.1
1998-11-01,成都市,81.0,14.7,9.4,72.2
1998-12-01,成都市,86.0,8.4,17.0,40.0
1999-01-01,成都市,74.0,7.2,3.3,53.0
1999-02-01,成都市,69.0,9.7,0.8,65.0
1999-03-01,成都市,71.0,11.5,4.5,73.0
1999-04-01,成都市,74.0,18.3,37.5,97.0
1999-05-01,成都市,72.0,20.7,69.0,101.0
1999-06-01,成都市,80.0,23.7,94.7,55.0
1999-07-01,成都市,86.0,24.9,215.2,100.0
1999-08-01,成都市,86.0,24.3,156.3,80.0
1999-09-01,成都市,84.0,22.8,135.0,78.0
1999-10-01,成都市,83.0,17.7,41.6,42.0
1999-11-01,成都市,80.0,12.9,23.6,25.0
1999-12-01,成都市,81.0,6.7,3.3,57.0
2000-01-01,成都市,85.0,5.6,16.6,6.0
2000-02-01,成都市,77.0,7.3,21.0,33.6
2000-03-01,成都市,75.0,12.8,21.3,83.7
2000-04-01,成都市,74.0,17.1,48.7,91.5
2000-05-01,成都市,64.0,23.3,18.2,179.3
2000-06-01,成都市,79.0,24.0,80.0,86.2
2000-07-01,成都市,83.0,26.1,250.3,134.0
2000-08-01,成都市,82.0,24.6,207.7,117.3
2000-09-01,成都市,82.0,21.6,76.3,82.0
2000-10-01,成都市,81.0,17.7,32.2,61.3
2000-11-01,成都市,79.0,11.0,9.5,62.2
2000-12-01,成都市,80.0,7.8,1.5,73.1
2001-01-01,成都市,77.0,7.0,2.9,54.7
2001-02-01,成都市,73.0,10.0,4.5,65.3
2001-03-01,成都市,62.0,15.1,1.5,128.2
2001-04-01,成都市,72.0,17.3,46.0,96.7
2001-05-01,成都市,60.0,22.7,31.3,189.7
2001-06-01,成都市,79.0,23.8,99.6,132.0
2001-07-01,成都市,75.0,27.6,161.1,142.4
2001-08-01,成都市,83.0,24.3,243.6,96.5
2001-09-01,成都市,88.0,20.8,203.0,8.8
2001-10-01,成都市,80.0,18.8,18.6,50.4
2001-11-01,成都市,80.0,13.6,11.5,56.1
2001-12-01,成都市,78.0,6.8,2.6,44.4
2002-01-01,成都市,86.0,5.5,17.1,20.0
2002-02-01,成都市,76.0,10.6,2.4,53.0
2002-03-01,成都市,68.0,14.2,18.5,61.0
2002-04-01,成都市,68.0,17.5,49.8,110.0
2002-05-01,成都市,72.0,21.1,91.4,98.0
2002-06-01,成都市,76.0,25.1,99.6,106.0
2002-07-01,成都市,76.0,26.4,184.9,123.0
2002-08-01,成都市,79.0,25.1,86.9,127.0
2002-09-01,成都市,70.0,23.2,39.3,94.0
2002-10-01,成都市,76.0,18.8,66.1,109.0
2002-11-01,成都市,79.0,13.5,18.0,63.0
2002-12-01,成都市,75.0,7.7,7.6,15.0
2003-01-01,成都市,76.0,7.0,1.4,44.0
2003-02-01,成都市,69.0,10.9,1.8,61.0
2003-03-01,成都市,69.0,12.9,19.4,83.0
2003-04-01,成都市,70.0,17.8,57.5,94.0
2003-05-01,成都市,71.0,21.7,104.7,77.0
2003-06-01,成都市,73.0,23.8,50.6,101.0
2003-07-01,成都市,77.0,26.4,82.9,111.0
2003-08-01,成都市,81.0,25.3,352.3,66.0
2003-09-01,成都市,80.0,22.4,29.8,68.0
2003-10-01,成都市,76.0,17.4,28.0,51.0
2003-11-01,成都市,75.0,12.8,6.6,27.0
2003-12-01,成都市,74.0,8.1,6.1,36.0
2004-01-01,成都市,81.0,6.0,19.8,34.0
2004-02-01,成都市,73.0,8.4,3.4,74.0
2004-03-01,成都市,76.0,12.2,50.1,70.0
2004-04-01,成都市,67.0,18.3,160.1,145.0
2004-05-01,成都市,68.0,20.8,114.6,118.0
2004-06-01,成都市,77.0,22.3,230.9,85.0
2004-07-01,成都市,76.0,25.0,111.0,139.0
2004-08-01,成都市,81.0,24.9,203.7,111.0
2004-09-01,成都市,79.0,21.6,57.0,71.0
2004-10-01,成都市,82.0,15.4,84.2,43.0
2004-11-01,成都市,80.0,12.3,20.3,52.0
2004-12-01,成都市,80.0,7.5,5.3,42.0
2005-01-01,成都市,80.0,4.8,15.6,30.7
2005-02-01,成都市,81.0,6.3,13.4,26.5
2005-03-01,成都市,76.0,11.5,44.9,78.2
2005-04-01,成都市,70.0,18.4,38.3,111.9
2005-05-01,成都市,75.0,21.4,75.2,94.7
2005-06-01,成都市,74.0,25.0,160.9,118.0
2005-07-01,成都市,81.0,25.6,138.5,76.4
2005-08-01,成都市,84.0,23.3,212.4,77.3
2005-09-01,成都市,75.0,23.3,33.3,70.7
2005-10-01,成都市,80.0,16.8,12.3,32.8
2005-11-01,成都市,79.0,12.5,16.1,30.1
2005-12-01,成都市,76.0,5.7,4.7,29.7
2006-01-01,成都市,77.0,5.8,1.3,45.5
2006-02-01,成都市,84.0,7.5,21.8,32.1
2006-03-01,成都市,75.0,12.1,22.9,115.1
2006-04-01,成都市,67.0,17.9,7.9,118.5
2006-05-01,成都市,67.0,21.6,83.1,155.8
2006-06-01,成都市,74.0,24.0,62.0,107.3
2006-07-01,成都市,78.0,26.9,288.0,141.8
2006-08-01,成都市,75.0,26.6,91.6,142.7
2006-09-01,成都市,80.0,20.9,48.1,35.8
2006-10-01,成都市,79.0,19.0,48.8,80.2
2006-11-01,成都市,80.0,13.3,18.4,61.8
2006-12-01,成都市,83.0,6.9,10.5,56.0
2007-01-01,成都市,80.0,5.3,11.5,65.0
2007-02-01,成都市,71.0,11.0,2.7,67.1
2007-03-01,成都市,71.0,12.6,4.5,66.7
2007-04-01,成都市,68.0,16.7,24.6,99.2
2007-05-01,成都市,62.0,23.0,84.6,123.0
2007-06-01,成都市,72.0,23.8,77.9,113.0
2007-07-01,成都市,78.0,25.4,78.3,90.7
2007-08-01,成都市,83.0,25.4,183.9,124.4
2007-09-01,成都市,82.0,21.5,75.1,87.2
2007-10-01,成都市,87.0,16.4,62.3,18.8
2007-11-01,成都市,84.0,12.8,9.1,47.2
2007-12-01,成都市,82.0,7.8,10.0,33.3
2008-01-01,成都市,76.0,3.7,6.3,23.5
2008-02-01,成都市,75.0,5.4,16.8,59.3
2008-03-01,成都市,75.0,13.4,33.0,86.7
2008-04-01,成都市,71.0,17.2,47.0,110.3
2008-05-01,成都市,67.0,22.1,69.7,110.5
2008-06-01,成都市,71.0,24.4,124.0,139.9
2008-07-01,成都市,77.0,25.7,235.8,137.6
2008-08-01,成都市,80.0,24.1,147.2,73.0
2008-09-01,成都市,79.0,22.2,267.0,51.0
2008-10-01,成都市,80.0,18.1,58.8,45.1
2008-11-01,成都市,76.0,12.2,22.6,62.2
2008-12-01,成都市,75.0,7.1,,29.3
2009-01-01,成都市,75.0,5.7,12.0,37.1
2009-02-01,成都市,70.0,10.8,3.1,53.9
2009-03-01,成都市,70.0,12.5,12.6,83.3
2009-04-01,成都市,71.0,17.5,51.1,95.4
2009-05-01,成都市,65.0,21.1,35.6,101.6
2009-06-01,成都市,69.0,24.6,33.5,89.5
2009-07-01,成都市,79.0,24.9,195.2,63.3
2009-08-01,成都市,77.0,25.0,169.1,102.1
2009-09-01,成都市,78.0,22.7,154.8,60.3
2009-10-01,成都市,79.0,17.7,42.3,51.9
2009-11-01,成都市,76.0,10.7,8.0,67.1
2009-12-01,成都市,75.0,7.9,6.9,34.7
2010-01-01,成都市,77.0,7.2,0.3,56.3
2010-02-01,成都市,74.0,8.2,3.1,38.3
2010-03-01,成都市,73.0,11.6,21.5,95.5
2010-04-01,成都市,80.0,14.4,29.1,57.8
2010-05-01,成都市,79.0,20.0,66.1,71.2
2010-06-01,成都市,83.0,22.0,106.3,43.1
2010-07-01,成都市,81.0,25.9,238.2,80.5
2010-08-01,成都市,83.0,24.7,291.9,87.7
2010-09-01,成都市,83.0,22.4,150.0,67.9
2010-10-01,成都市,82.0,16.7,16.6,38.2
2010-11-01,成都市,80.0,12.5,6.2,62.5
2010-12-01,成都市,75.0,6.9,7.5,90.0
2011-01-01,成都市,76.0,2.4,16.0,31.4
2011-02-01,成都市,76.0,7.6,7.7,50.8
2011-03-01,成都市,71.0,9.4,36.8,67.5
2011-04-01,成都市,69.0,17.6,8.2,123.9
2011-05-01,成都市,70.0,20.7,233.8,118.3
2011-06-01,成都市,72.0,24.2,71.3,137.5
2011-07-01,成都市,77.0,24.6,292.3,79.5
2011-08-01,成都市,74.0,25.9,114.6,169.9
2011-09-01,成都市,76.0,20.8,152.1,42.9
2011-10-01,成都市,78.0,16.8,43.7,35.8
2011-11-01,成都市,78.0,14.2,20.1,39.4
2011-12-01,成都市,74.0,6.9,6.6,29.4
2012-01-01,成都市,82.0,5.0,13.6,26.2
2012-02-01,成都市,76.0,6.0,6.3,21.6
2012-03-01,成都市,76.0,11.2,26.2,78.1
2012-04-01,成都市,69.0,17.7,17.6,115.8
2012-05-01,成都市,76.0,21.2,118.8,68.6
2012-06-01,成都市,81.0,22.5,74.9,63.6
2012-07-01,成都市,83.0,24.8,143.1,73.7
2012-08-01,成都市,78.0,26.0,64.1,141.0
2012-09-01,成都市,82.0,20.9,76.7,57.4
2012-10-01,成都市,81.0,17.2,57.0,44.9
2012-11-01,成都市,77.0,11.0,9.7,44.1
2012-12-01,成都市,76.0,6.8,2.9,45.6
2013-01-01,成都市,75.0,5.3,1.2,65.3
2013-02-01,成都市,73.0,9.3,4.7,51.2
2013-03-01,成都市,64.0,15.7,7.6,148.1
2013-04-01,成都市,70.0,17.7,42.2,129.1
2013-05-01,成都市,74.0,21.2,99.0,123.6
2013-06-01,成都市,76.0,24.5,182.1,108.5
2013-07-01,成都市,84.0,25.8,525.5,85.4
2013-08-01,成都市,78.0,26.5,228.3,168.9
2013-09-01,成都市,83.0,20.8,196.2,38.4
2013-10-01,成都市,82.0,17.6,27.1,78.2
2013-11-01,成都市,80.0,12.0,21.8,59.6
